Area,Habitaciones,Baños,Precio
115.0,3,3,331500000
125.0,3,3,357000000
67.0,3,2,180000000
78.18,3,2,297000000
73.89,3,2,390000000
71.0,2,2,281700000
68.0,3,2,259000000
82.0,3,3,325000000
67.73,3,2,340000000
140.0,3,3,410000000
60.31,3,2,224000000
112.7,3,4,612000000
103.6,3,4,565000000
139.0,3,3,688400000
65.7,2,2,375000000
61.1,3,2,138000000
66.0,0,0,68000000
134.0,3,4,550000000
60.0,3,1,125000000
48.0,3,1,145000000
46.12,2,1,130000000
45.58,3,2,117000000
48.0,1,2,240000000
62.0,2,2,310000000
70.0,3,2,350000000
135.0,3,4,675000000
80.73,3,2,226000000
51.31,2,2,165000000
36.4,2,1,137732400
50.6,2,1,96700000
40.15,2,1,85900000
87.0,3,3,489000000
56.0,3,2,204000000
49.4,2,2,160000000
52.94,2,2,160000000
41.0,2,1,121550000
51.0,2,2,175000000
116.0,0,0,133400000
72.9,0,0,83835000
78.4,3,3,340000000
69.0,3,2,320000000
63.0,2,2,164900000
50.8,3,2,136100000
49.4,2,2,180000000
52.94,2,2,185000000
53.43,2,2,185000000
71.0,3,2,455680000
80.0,3,2,512000000
70.5,3,2,400000000
75.0,3,2,308510000
81.4,3,2,334836000
58.3,2,1,130000000
60.0,3,2,189990000
64.5,2,2,350000000
65.8,2,2,351400000
72.0,3,2,382600000
100.0,3,2,523600000
44.2,2,1,190000000
83.0,3,3,373500000
86.0,3,3,387000000
64.63,3,2,189900000
53.14,3,2,178600000
46.0,3,2,125190000
49.0,2,2,150000000
60.3,3,2,152000000
44.0,2,1,175000000
121.3,3,3,500000000
58.68,2,2,271311000
53.23,0,0,52990000
65.0,3,2,159000000
45.58,3,2,118000000
60.0,3,2,266000000
61.0,3,2,190000000
66.0,3,2,350000000
72.0,3,2,180000000
58.0,2,2,229521600
37.0,1,1,142146900
61.0,2,2,238650300
48.97,3,2,107400000
56.0,2,2,167000000
117.0,0,0,105000300
46.32,2,2,191124500
81.66,3,3,390000000
60.75,3,2,179900000
60.21,3,2,212900000
63.0,3,2,230000000
42.74,3,1,128700000
41.0,2,1,174500000
47.0,2,1,199900000
51.31,2,2,174000000
43.0,2,2,180000000
37.7,2,1,123000000
75.6,2,1,215000000
59.43,3,2,175000000
50.45,3,2,227590000
42.0,2,1,164900000
